# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1705909149209000000,1705909209249000000,0.0
Indexes.entries.lookupDurationAvgMs,1705909149209000000,1705909209249000000,0.0
workspaceModel.init.bridges.ms,1705909149209000000,1705909209249000000,2
workspaceModel.replace.project.model.ms,1705909149209000000,1705909209249000000,0
workspaceModel.updates.precise.ms,1705909149209000000,1705909209249000000,48
workspaceModel.check.recursive.update.ms,1705909149209000000,1705909209249000000,0
workspaceModel.to.snapshot.ms,1705909149209000000,1705909209249000000,1
workspaceModel.initializing.ms,1705909149209000000,1705909209249000000,2
workspaceModel.pre.handlers.ms,1705909149209000000,1705909209249000000,1
workspaceModel.update.unloaded.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.updates.ms,1705909149209000000,1705909209249000000,102
workspaceModel.loading.from.cache.ms,1705909149209000000,1705909209249000000,379
workspaceModel.loading.total.ms,1705909149209000000,1705909209249000000,416
workspaceModel.collect.changes.ms,1705909149209000000,1705909209249000000,0
workspaceModel.updates.count,1705909149209000000,1705909209249000000,4
FileNameCache.queries,1705909149209000000,1705909209249000000,41895688
FileNameCache.totalMisses,1705909149209000000,1705909209249000000,2230728
MappedFileStorage.totalTimeSpentOnMappingUs,1705909209249000000,1705909269227000000,2193
FilePageCache.capacityInBytes,1705909209249000000,1705909269227000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1705909209249000000,1705909269227000000,118
FilePageCache.pageFastCacheHits,1705909209249000000,1705909269227000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705909209249000000,1705909269227000000,504029184
MappedFileStorage.storages,1705909209249000000,1705909269227000000,17
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705909209249000000,1705909269227000000,1048576
FilePageCache.pageLoads,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesAllocated,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesWritten,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.nativeBytesInUse,1705909209249000000,1705909269227000000,679936
